R package version: 0.0-42
Summary type: mean
Test type: t-test
x-axis treatment: 33
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 33C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 33
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0136
y-axis screen name: stn1-13 33C
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: AAB
y-axis date: 2014/08/22
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YBR147W	RTC2	0.014581	0.0773065	-18.3783	25.334	74.0901	5.7142	3.04306	8	8	t-test	E
YPR143W	RRP15	0.192356	0.40446	-18.3761	38.3417	96.1339	2.90169	21.2508	8	8	t-test	E
YDL159W	STE7	0.076197	0.229146	-18.3474	23.0421	70.1531	8.71409	3.80521	8	6	t-test	E
YCR088W	ABP1	0.340574	0.560495	-18.3358	35.5264	91.2936	2.7994	29.2874	8	6	t-test	E
YNL027W	CRZ1	0.0862746	0.245066	-18.2198	32.9143	86.6695	2.76316	15.1717	8	8	t-test	E
YCR020C-A	MAK31	0.0255703	0.11288	-18.1762	29.6094	80.9941	6.31052	4.49117	8	6	t-test	E
YDR185C	UPS3	0.383202	0.59982	-18.1509	40.965	100.198	2.20258	32.9156	8	8	t-test	E
YFR031C-A	RPL2A	0.395599	0.610908	-18.1074	37.5546	94.3442	3.25299	33.5795	8	8	t-test	E
YFL018C	LPD1	0.0620798	0.199912	-18.0657	14.5701	55.316	3.17626	13.0662	8	7	t-test	E
YML048W	GSF2	0.00179961	0.01858	-18.0024	26.3778	75.2223	3.07229	5.95759	8	8	t-test	E
YDR248C	YDR248C	0.0587596	0.193784	-17.889	19.0887	62.6753	7.2432	7.69622	8	8	t-test	E
YNL106C	INP52	0.000800174	0.0104332	-17.8092	13.622	53.2741	3.37187	2.24467	8	8	t-test	E
YHR025W	THR1	0.0144117	0.0765848	-17.7465	23.8025	70.4235	5.50797	2.66629	8	8	t-test	E
YBL084C	CDC27	0.000164836	0.0034037	-17.5975	26.333	74.4599	2.55642	1.11849	8	8	t-test	E
YNL234W	YNL234W	0.0610978	0.198519	-17.597	21.013	65.4421	7.81963	3.30862	8	8	t-test	E
YDR116C	MRPL1	0.0202594	0.0965356	-17.5781	16.5094	57.7765	5.86439	3.21161	8	8	t-test	E
YGR191W	HIP1	0.173279	0.37943	-17.5424	19.1903	62.26	9.46386	13.0449	8	8	t-test	E
YNL064C	YDJ1	0.0804356	0.235723	-17.5284	13.5681	52.707	8.01366	7.22075	8	8	t-test	E
YFL009W	CDC4	0.077056	0.230394	-17.4884	37.7363	93.6031	2.5418	14.0466	8	8	t-test	E
YOR125C	CAT5	0.000259492	0.0047222	-17.422	11.1196	48.3765	1.42507	4.80974	6	8	t-test	E
YDL124W	YDL124W	0.0914618	0.254644	-17.4007	29.5775	79.6255	1.52138	14.1161	8	6	t-test	E
YKL056C	TMA19	0.31454	0.535057	-17.2639	33.2323	85.5885	3.69167	26.4883	8	8	t-test	E
YDL218W	YDL218W	0.371857	0.589911	-17.2376	37.6934	93.1054	1.5464	30.5436	8	8	t-test	E
YCR081W	SRB8	0.0147555	0.0780022	-17.2298	22.9657	68.1293	3.42076	7.99078	8	6	t-test	E
YGR208W	SER2	0.00064673	0.00898848	-17.0838	5.28903	37.9207	1.73621	5.3738	8	8	t-test	E
YGL094C	PAN2	0.00366029	0.0304062	-17.0806	19.422	61.87	3.64571	2.78065	6	8	t-test	E
YBR019C	GAL10	0.337136	0.557194	-17.0599	39.3319	95.5811	4.03923	27.4498	8	8	t-test	E
YDR493W	MZM1	0.00136717	0.015302	-17.0524	18.0006	59.413	3.11878	3.80652	6	8	t-test	E
YHR200W	RPN10	0.00319606	0.0281688	-17.0396	21.0558	64.5699	3.96114	1.76503	8	8	t-test	E
YMR213W	CEF1	0.0447993	0.163994	-17.0235	28.9375	77.9016	6.92432	3.0446	8	8	t-test	E
YDR435C	PPM1	0.0747602	0.226474	-16.9905	18.9457	60.91	8.04909	3.05863	8	7	t-test	E
YLR065C	ENV10	0.102562	0.275113	-16.7619	18.486	59.7435	8.37171	2.84128	6	8	t-test	E
YNL207W	RIO2	0.0184351	0.0910771	-16.7124	24.5546	69.9454	5.47176	2.55293	8	8	t-test	E
YMR294W	JNM1	0.00299971	0.0272941	-16.5568	21.703	64.8483	3.80455	1.66722	8	8	t-test	E
YDR032C	PST2	0.000511477	0.00761047	-16.5266	26.6838	73.2393	2.62479	2.91197	6	8	t-test	E
YML010C-B	YML010C-B	0.0060235	0.0435949	-16.4178	12.9438	49.7663	2.20093	7.20885	8	8	t-test	E
YPR071W	YPR071W	0.075788	0.228357	-16.4124	21.3115	63.9401	7.30056	3.9564	6	8	t-test	E
YDL224C	WHI4	0.421848	0.630653	-16.3717	40.8497	96.9874	2.22444	32.3627	8	8	t-test	E
YPR200C	ARR2	0.0166836	0.0848266	-16.2973	20.4912	62.3547	4.75519	3.8378	6	8	t-test	E
YDL090C	RAM1	0.26191	0.481272	-16.2745	16.6623	55.8261	8.19001	18.5765	8	6	t-test	E
YJR034W	PET191	0.00472508	0.0365508	-16.2565	19.4042	60.4431	3.61218	2.42591	6	8	t-test	E
YGL023C	PIB2	0.17879	0.388388	-16.2442	31.6425	81.1656	1.61863	18.311	8	8	t-test	E
YCR009C	RVS161	0.197004	0.408496	-16.2236	22.5986	65.8016	5.97811	16.8269	8	6	t-test	E
YLR329W	REC102	0.348746	0.569682	-16.1775	39.5042	94.3776	4.34251	26.5596	6	8	t-test	E
YJL107C	YJL107C	0.00170326	0.0178402	-16.1652	22.1212	64.8935	3.05333	3.75439	6	8	t-test	E
YER016W	BIM1	0.153333	0.353227	-16.145	23.8702	67.8236	2.64075	16.4573	8	7	t-test	E
YNL246W	VPS75	0.159433	0.361853	-16.1398	30.3284	78.7612	3.32832	16.8309	8	8	t-test	E
YKL055C	OAR1	0.0858485	0.24413	-16.1151	11.1732	46.2524	2.76391	13.3036	8	8	t-test	E
YFL012W	YFL012W	0.00639445	0.0451809	-16.0647	19.9307	61.0102	3.80895	2.70665	6	8	t-test	E
YNR026C	SEC12	0.145589	0.344332	-16.0405	16.1035	54.4826	8.05552	11.1038	8	8	t-test	E
YLR273C	PIG1	0.457566	0.66119	-16.0331	41.6773	97.8161	4.5865	33.8753	6	8	t-test	E
YPR074C	TKL1	0.000458111	0.0070658	-16.0117	18.9904	59.3268	2.4514	3.61937	6	8	t-test	E
YPR048W	TAH18	0.0252799	0.111831	-15.9977	25.0244	69.5303	5.63455	2.40444	8	8	t-test	E
YHR176W	FMO1	0.023545	0.10731	-15.9955	24.4788	68.602	5.53852	2.45341	8	8	t-test	E
YPR070W	MED1	0.0140398	0.0753727	-15.7865	0.359454	27.3665	0.300742	8.23436	6	8	t-test	E
YDR133C	YDR133C	0.443758	0.648614	-15.6933	40.7613	95.6875	2.4109	32.5792	8	8	t-test	E
YBR280C	SAF1	0.0958629	0.262856	-15.5531	31.7112	80.1106	3.76432	12.3311	8	6	t-test	E
YLR010C	TEN1	0.014894	0.0785699	-15.5322	12.4636	47.4513	4.20253	7.28608	16	16	t-test	E
YDR276C	PMP3	0.12265	0.307323	-15.4904	12.1731	46.8881	6.71215	11.2221	8	8	t-test	E
YDL220C	CDC13	0.00332081	0.0285557	-15.4718	21.9792	63.4775	3.99542	4.46339	16	16	t-test	E
YDR103W	STE5	0.0621653	0.200054	-15.4378	23.2729	65.6126	6.87745	3.21585	8	8	t-test	E
YDR029W	YDR029W	0.0133862	0.0729752	-15.4348	25.1104	68.7221	4.20418	4.72025	6	8	t-test	E
YOR221C	MCT1	0.0856456	0.24369	-15.4116	15.2939	52.0442	4.72175	11.484	8	8	t-test	E
YOR141C	ARP8	0.114779	0.294739	-15.37	8.86568	41.0782	5.87032	11.8331	8	8	t-test	E
YPR197C	YPR197C	0.00174588	0.0181364	-15.3328	28.4501	74.2097	2.89321	3.707	6	8	t-test	E
YKL139W	CTK1	0.0426596	0.158921	-15.2778	22.5626	64.1375	6.14638	2.36544	8	8	t-test	E
YJL119C	YJL119C	0.00451162	0.0354965	-15.2774	20.1952	60.1242	3.41593	2.9558	6	8	t-test	E
YDR428C	BNA7	0.134381	0.327157	-15.2586	30.0899	76.8633	6.08219	12.4008	8	7	t-test	E
